run_id	agent	query_id	task_type	query	answer	predicted_tables	expected_tables	expected_answerable	predicted_answerable	table_precision	table_recall
20251223_181846	graph_rag	Q000	relationship	Explain the link between VBAK and KNA1.	"Based on the SAP HANA schema context, I'll explain the relationship between VBAK and KNA1 tables.

## 1. Clear Answer

VBAK (Sales Document Header) and KNA1 (Customer Master General Data) are linked through customer identification fields. VBAK contains transactional sales order data that references customer master data stored in KNA1.

## 2. Relevant Table Names

- **VBAK** - Sales Document: Header Data
- **KNA1** - Customer Master (General Data)

## 3. Relationship Explanation

The relationship between these tables is:
- **Type**: One-to-Many relationship
- **Direction**: KNA1 (1) → VBAK (Many)
- **Nature**: A single customer in KNA1 can have multiple sales documents in VBAK

## 4. Field-Level Details

**Primary Linking Fields:**

| VBAK Field | KNA1 Field | Description |
|------------|------------|-------------|
| KUNNR | KUNNR | Customer Number (Sold-to Party) |

**Additional Customer References in VBAK:**
- **KUNAG** - Sold-to Party (links to KNA1-KUNNR)
- **KUNWE** - Ship-to Party (links to KNA1-KUNNR)
- **KUNRG** - Payer (links to KNA1-KUNNR)

**Join Example:**
```sql
SELECT v.VBELN, v.KUNNR, k.NAME1, k.ORT01
FROM VBAK v
INNER JOIN KNA1 k ON v.KUNNR = k.KUNNR
WHERE v.AUART = 'OR'  -- Standard Order
```

**Business Purpose:**
This relationship enables sales order processing by connecting transactional sales documents with customer master data, providing access to customer details like name, address, payment terms, and other master data attributes needed for order fulfillment."	VBAK,KNA1	VBAK,KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q001	negative_relationship	Can VBAP be joined directly with customer data?	"Based on SAP standard schema structure, **VBAP cannot be joined directly with customer master data tables**.

## Clear Answer
No, VBAP (Sales Document Item) does not contain customer fields and requires joins through header tables to access customer information.

## Relevant Table Names
- **VBAP** - Sales Document Item
- **VBAK** - Sales Document Header  
- **KNA1** - Customer Master (General Data)
- **KNB1** - Customer Master (Company Code Data)
- **KNVV** - Customer Master (Sales Area Data)

## Relationship Explanations

### Required Join Path:
```
VBAP → VBAK → Customer Tables
```

**Step 1:** VBAP to VBAK
- Join on: `VBAP.VBELN = VBAK.VBELN`
- Relationship: Many items to one header

**Step 2:** VBAK to Customer Tables
- Join on: `VBAK.KUNNR = KNA1.KUNNR` (Sold-to Party)
- Additional customer roles available via VBAK fields

## Field-Level Details

### VBAP Key Fields:
- `VBELN` - Sales Document Number
- `POSNR` - Sales Document Item Number

### VBAK Customer Fields:
- `KUNNR` - Sold-to Party
- `KUNAG` - Ship-to Party  
- `KUNWE` - Ship-to Party
- `KUNRE` - Bill-to Party

### Join Example:
```sql
SELECT v.VBELN, v.POSNR, k.NAME1, k.LAND1
FROM VBAP v
INNER JOIN VBAK h ON v.VBELN = h.VBELN
INNER JOIN KNA1 k ON h.KUNNR = k.KUNNR
```

This multi-step join is necessary because VBAP focuses on item-specific data while customer information resides at the document header level in VBAK."	VBAP,VBAK,KNA1		False	True	0.0	1.0
20251223_181846	graph_rag	Q002	entity_lookup	Which SAP tables contain customer information?	"Based on standard SAP table structures, here are the key SAP tables that contain customer information:

## 1. Clear Answer
The primary SAP tables containing customer information are **KNA1** (Customer Master General Data) and **KNB1** (Customer Master Company Code Data), along with several related tables for specific customer attributes and transactional data.

## 2. Relevant Table Names

### Core Customer Tables:
- **KNA1** - Customer Master (General Data)
- **KNB1** - Customer Master (Company Code Data)
- **KNB5** - Customer Master (Dunning Data)
- **KNBK** - Customer Master (Bank Details)
- **KNKA** - Customer Master (Credit Management)

### Extended Customer Information:
- **ADRC** - Customer Address Data
- **KNC1** - Customer Master (Transaction Figures)
- **KNVV** - Customer Master (Sales and Distribution View)
- **KNVP** - Customer Master (Partner Functions)
- **KNT1** - Customer Master (Tax Data)

### Transactional Tables:
- **BSID** - Accounting: Secondary Index for Customers (Open Items)
- **BSAD** - Accounting: Secondary Index for Customers (Cleared Items)

## 3. Relationship Explanations

- **KNA1 ↔ KNB1**: One-to-many relationship (one customer can exist in multiple company codes)
- **KNA1 ↔ ADRC**: Linked via address number (ADRNR) for detailed address information
- **KNA1 ↔ KNVV**: One-to-many relationship for sales organization-specific data
- **KNB1 ↔ KNC1**: One-to-one relationship for financial transaction figures
- **KNA1 ↔ KNVP**: One-to-many for partner function assignments

## 4. Field-Level Details

### KNA1 (Key Fields):
- **KUNNR** - Customer Number (Primary Key)
- **NAME1** - Customer Name 1
- **NAME2** - Customer Name 2
- **STRAS** - Street Address
- **PSTLZ** - Postal Code
- **ORT01** - City
- **LAND1** - Country Key
- **TELF1** - Telephone Number

### KNB1 (Key Fields):
- **KUNNR** - Customer Number
- **BUKRS** - Company Code
- **AKONT** - Reconciliation Account
- **ZTERM** - Payment Terms
- **ZUAWA** - Sort Key

### KNVV (Key Fields):
- **KUNNR** - Customer Number
- **VKORG** - Sales Organization
- **VTWEG** - Distribution Channel
- **SPART** - Division
- **KTGRD** - Customer Group

Note: Without access to your specific schema context, these recommendations are based on standard SAP ERP table structures. Your actual implementation may have custom tables or modifications that should also be considered."	KNA1	KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q003	relationship	How is VBAK connected to KNA1?	"Based on standard SAP schema relationships, here's how VBAK is connected to KNA1:

## 1. Clear Answer
VBAK (Sales Document Header) is connected to KNA1 (Customer Master General Data) through customer number fields, establishing the relationship between sales orders and customer master data.

## 2. Relevant Table Names
- **VBAK**: Sales Document Header Data
- **KNA1**: Customer Master (General Section)

## 3. Relationship Explanations

**Primary Connection:**
- VBAK contains customer references that link to KNA1's customer master records
- This is a **many-to-one** relationship (many sales documents can belong to one customer)
- The relationship enables access to customer master data when processing sales documents

**Business Context:**
- When a sales order is created, it references the customer who placed the order
- This connection allows the system to retrieve customer-specific information like payment terms, shipping details, and pricing conditions

## 4. Field-Level Details

**Key Connecting Fields:**

| VBAK Field | KNA1 Field | Description |
|------------|------------|-------------|
| KUNNR | KUNNR | Sold-to Party (Customer Number) |
| KUNAG | KUNNR | Ship-to Party (when different from sold-to) |
| KUNWE | KUNNR | Bill-to Party (when different from sold-to) |

**Additional Related Fields:**
- **VBAK.VKORG** (Sales Organization) - used with customer sales area data
- **VBAK.VTWEG** (Distribution Channel) - part of customer sales area
- **VBAK.SPART** (Division) - part of customer sales area

**Note:** For complete customer sales-specific data, the relationship often extends through **KNVV** (Customer Master Sales Data) which connects both VBAK and KNA1 using the same customer number plus sales area information."	VBAK,KNA1	VBAK,KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q004	impact	What is impacted if customer data changes?	"I'd be happy to help you understand the impact of customer data changes in SAP HANA, but I notice that the schema context information wasn't included in your question. To provide you with specific table names, relationships, and field-level details, I would need to see the actual schema structure.

However, I can provide you with a general framework of what's typically impacted when customer data changes in SAP systems:

## General Impact Areas:

### 1. **Master Data Dependencies**
- **Customer Master Tables** (typically like KNA1, KNVV, KNVP in SAP ERP)
- **Business Partner data**
- **Address and contact information**

### 2. **Transactional Data Impact**
- **Sales Orders** - pricing, terms, delivery details
- **Invoices and Billing** - billing addresses, payment terms
- **Delivery Documents** - shipping addresses, delivery preferences
- **Credit Management** - credit limits, risk assessments

### 3. **Financial Impact**
- **Accounts Receivable** - payment terms, dunning procedures
- **Revenue Recognition** - customer-specific revenue rules
- **Profitability Analysis** - customer profitability calculations

### 4. **Analytics and Reporting**
- **Customer segmentation models**
- **Sales performance reports**
- **Customer lifetime value calculations**
- **Predictive analytics models**

**Could you please provide the schema context information?** This would allow me to give you:
- Specific table names from your schema
- Exact field relationships and foreign key dependencies
- Detailed impact analysis based on your actual data model
- Specific SAP HANA views or procedures that might be affected"	KNA1	VBAK	True	True	0.0	0.0
20251223_181846	graph_rag	Q005	entity_lookup	Which SAP tables contain customer information?	"I notice that you haven't provided the actual schema information in your question, but I can give you comprehensive information about the standard SAP tables that contain customer information based on typical SAP implementations.

## 1. Clear Answer

The primary SAP tables containing customer information are **KNA1** (Customer Master - General Data) and **KNB1** (Customer Master - Company Code Data). These work together with several supporting tables to provide a complete customer data structure.

## 2. Relevant Table Names

### Core Customer Tables:
- **KNA1** - Customer Master (General Data)
- **KNB1** - Customer Master (Company Code Data)
- **KNVV** - Customer Master (Sales Area Data)
- **KNVP** - Customer Master (Partner Functions)

### Supporting Customer Tables:
- **KNT1** - Customer Master (Tax Indicator)
- **KNKA** - Customer Master (Credit Management)
- **KNKK** - Customer Master (Credit Management - Control Area)
- **ADRC** - Addresses (Master Record)
- **T001** - Company Codes
- **TVKO** - Sales Organizations

## 3. Relationship Explanations

```
KNA1 (Customer General) 1:N KNB1 (Company Code Data)
    |                        |
    |                   1:N KNKK (Credit Control)
    |
1:N KNVV (Sales Area Data)
    |
1:N KNVP (Partner Functions)
```

- **KNA1** serves as the header table with general customer information
- **KNB1** contains company code-specific data (1 customer can exist in multiple company codes)
- **KNVV** holds sales area-specific information (sales org, distribution channel, division)
- **KNVP** stores partner function assignments (sold-to, ship-to, bill-to, payer)

## 4. Field-Level Details

### KNA1 (Customer Master - General Data):
- **KUNNR** - Customer Number (Primary Key)
- **NAME1** - Name 1
- **NAME2** - Name 2
- **SORTL** - Search Term
- **STRAS** - Street and House Number
- **ORT01** - City
- **PSTLZ** - Postal Code
- **LAND1** - Country Key
- **SPRAS** - Language Key
- **TELF1** - Telephone Number
- **TELFX** - Fax Number
- **SMTP_ADDR** - Email Address

### KNB1 (Customer Master - Company Code Data):
- **KUNNR** - Customer Number (Foreign Key to KNA1)
- **BUKRS** - Company Code
- **AKONT** - Reconciliation Account
- **ZUAWA** - Sort Key
- **ZTERM** - Terms of Payment
- **REPRF** - Check Flag for Double Invoices

### KNVV (Customer Master - Sales Area Data):
- **KUNNR** - Customer Number
- **VKORG** - Sales Organization
- **VTWEG** - Distribution Channel
- **SPART** - Division
- **WAERS** - Currency
- **KALKS** - Pricing Procedure
- **VSBED** - Shipping Conditions

**Note:** To provide more specific guidance for your SAP HANA system, please share the actual schema information you're working with, and I can give you targeted recommendations based on your specific table structures and relationships."	KNA1	KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q006	entity_lookup	Which SAP tables contain customer information?	"I notice that no specific schema context was provided in your question, but I can give you comprehensive information about the standard SAP tables that contain customer information.

## 1. Clear Answer

The primary SAP tables containing customer information are centered around the **KNA1** (Customer Master) table, with several related tables providing additional customer-specific data across different modules.

## 2. Relevant Table Names

### Core Customer Tables:
- **KNA1** - Customer Master (General Data)
- **KNB1** - Customer Master (Company Code Data)
- **KNB5** - Customer Master (Dunning Data)
- **KNBK** - Customer Master (Bank Details)
- **KNKA** - Customer Master (Credit Management)
- **KNKK** - Customer Master (Credit Control Area)
- **KNVV** - Customer Master (Sales Data)
- **KNVP** - Customer Master (Partner Functions)

### Supporting Tables:
- **ADRC** - Address Data
- **ADR6** - Email Addresses
- **ADR2** - Telephone Numbers
- **CDHDR/CDPOS** - Change Documents
- **T005T** - Country Names
- **TVKOT** - Sales Organization Texts

## 3. Relationship Explanations

### Primary Relationships:
- **KNA1** serves as the central hub, linked by customer number (KUNNR)
- **KNB1** extends KNA1 with company-code specific data (1:N relationship)
- **KNVV** extends KNA1 with sales organization specific data (1:N relationship)
- **ADRC** is linked via address number (ADRNR) for physical addresses
- **KNVP** contains partner functions (sold-to, ship-to, bill-to, payer relationships)

### Key Relationships:
```
KNA1 (1) ←→ (N) KNB1 (via KUNNR)
KNA1 (1) ←→ (N) KNVV (via KUNNR)
KNA1 (1) ←→ (1) ADRC (via ADRNR)
KNVV (1) ←→ (N) KNVP (via KUNNR + VKORG + VTWEG + SPART)
```

## 4. Field-Level Details

### KNA1 (Customer Master - General):
- **KUNNR** - Customer Number (Primary Key)
- **NAME1** - Customer Name
- **SORTL** - Search Term
- **STRAS** - Street Address
- **ORT01** - City
- **PSTLZ** - Postal Code
- **LAND1** - Country Key
- **SPRAS** - Language Key
- **TELF1** - Telephone
- **KTOKD** - Customer Account Group

### KNB1 (Company Code Data):
- **KUNNR** - Customer Number
- **BUKRS** - Company Code
- **AKONT** - Reconciliation Account
- **ZTERM** - Payment Terms
- **ZWELS** - Payment Methods

### KNVV (Sales Data):
- **KUNNR** - Customer Number
- **VKORG** - Sales Organization
- **VTWEG** - Distribution Channel
- **SPART** - Division
- **KALKS** - Pricing Procedure
- **WAERS** - Currency

### ADRC (Address Data):
- **ADDRNUMBER** - Address Number
- **STREET** - Street
- **CITY1** - City
- **POST_CODE1** - Postal Code
- **COUNTRY** - Country
- **REGION** - Region/State

Would you like me to provide more specific information about any of these tables or their relationships?"	KNA1	KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q007	relationship	Explain the link between VBAK and KNA1.	"Based on SAP standard schema, here's the relationship between VBAK and KNA1:

## 1. Clear Answer
VBAK (Sales Document Header) and KNA1 (Customer Master) are linked through customer number fields, establishing the relationship between sales orders and their corresponding customers.

## 2. Relevant Table Names
- **VBAK**: Sales Document Header Data
- **KNA1**: Customer Master (General Data)

## 3. Relationship Explanations

### Primary Link:
- **VBAK.KUNNR** → **KNA1.KUNNR** (Sold-to Party)
  - This is the main relationship linking a sales order to its primary customer

### Additional Customer Links in VBAK:
- **VBAK.KUNAG** → **KNA1.KUNNR** (Sold-to Party - alternative field)
- **VBAK.KUNWE** → **KNA1.KUNNR** (Ship-to Party)
- **VBAK.KUNRG** → **KNA1.KUNNR** (Payer)

## 4. Field-Level Details

### VBAK Key Fields:
- **VBELN**: Sales Document Number (Primary Key)
- **KUNNR**: Customer Number (Sold-to Party)
- **KUNAG**: Sold-to Party
- **KUNWE**: Ship-to Party
- **KUNRG**: Payer

### KNA1 Key Fields:
- **KUNNR**: Customer Number (Primary Key)
- **NAME1**: Customer Name
- **LAND1**: Country Key
- **SPRAS**: Language Key

### Typical JOIN Example:
```sql
SELECT v.VBELN, v.KUNNR, k.NAME1, k.LAND1
FROM VBAK v
INNER JOIN KNA1 k ON v.KUNNR = k.KUNNR
```

This relationship enables linking sales order header information with customer master data for reporting, customer analysis, and business processes."	VBAK,KNA1	VBAK,KNA1	True	True	1.0	1.0
20251223_181846	graph_rag	Q008	negative_relationship	Does VBAP reference KNA1 without VBAK?	"Based on standard SAP schema design, I'll analyze the relationship between VBAP, VBAK, and KNA1 tables.

## 1. Clear Answer
**No, VBAP does not directly reference KNA1 without going through VBAK.**

## 2. Relevant Table Names
- **VBAP** - Sales Document Item Data
- **VBAK** - Sales Document Header Data  
- **KNA1** - Customer Master Data

## 3. Relationship Explanations

The standard SAP relationship flow is:
```
VBAP → VBAK → KNA1
```

**VBAP to VBAK:**
- VBAP contains item-level data for sales documents
- Each VBAP record references its header through the sales document number
- Relationship: VBAP.VBELN = VBAK.VBELN

**VBAK to KNA1:**
- VBAK contains header-level data including customer information
- Customer data is stored at the header level, not item level
- Relationship: VBAK.KUNNR = KNA1.KUNNR (sold-to party)

## 4. Field-Level Details

**Key linking fields:**
- **VBAP.VBELN** → **VBAK.VBELN** (Sales Document Number)
- **VBAK.KUNNR** → **KNA1.KUNNR** (Customer Number - Sold-to Party)

**Why this design:**
- Customer assignment is a header-level attribute
- Multiple line items (VBAP) belong to one header (VBAK)
- Storing customer reference at header level avoids redundancy
- VBAP focuses on material/item-specific data while customer data resides in VBAK

**Exception scenarios:**
While VBAP might contain partner-related fields for specific business scenarios, the primary customer relationship is established through the header table VBAK."	VBAP,VBAK,KNA1		False	True	0.0	1.0
20251223_181846	graph_rag	Q009	entity_lookup	Which SAP tables contain customer information?	"Based on my SAP knowledge, here are the main SAP tables that contain customer information:

## 1. Clear Answer
The primary customer information in SAP is stored across several interconnected tables, with **KNA1** being the central customer master table, supported by various additional tables for specific data types and organizational views.

## 2. Relevant Table Names

### Core Customer Tables:
- **KNA1** - Customer Master (General Data)
- **KNB1** - Customer Master (Company Code Data)
- **KNVV** - Customer Master (Sales Area Data)
- **KNB5** - Customer Master (Dunning Data)
- **KNKA** - Customer Master (Credit Management)

### Address and Communication:
- **ADRC** - Addresses (Master Record)
- **ADR6** - Email Addresses
- **ADR2** - Telephone Numbers
- **ADR3** - Fax Numbers

### Additional Customer-Related Tables:
- **KNVP** - Customer Master Partner Functions
- **KNVS** - Customer Master Shipping Data
- **T001** - Company Codes (for validation)
- **TVKO** - Sales Organizations

## 3. Relationship Explanations

```
KNA1 (Customer General Data)
├── KNB1 (Company Code specific data) - 1:N relationship
├── KNVV (Sales Area specific data) - 1:N relationship
├── KNB5 (Dunning data per company code) - 1:N relationship
└── KNKA (Credit management data) - 1:N relationship

KNA1.ADRNR → ADRC.ADDRNUMBER (Address link)
ADRC.ADDRNUMBER → ADR6.ADDRNUMBER (Email addresses)
ADRC.ADDRNUMBER → ADR2.ADDRNUMBER (Phone numbers)
```

## 4. Field-Level Details

### KNA1 (Key Fields):
- **KUNNR** - Customer Number (Primary Key)
- **NAME1** - Customer Name
- **STRAS** - Street Address
- **ORT01** - City
- **PSTLZ** - Postal Code
- **LAND1** - Country Key
- **ADRNR** - Address Number (link to ADRC)

### KNB1 (Key Fields):
- **KUNNR** - Customer Number
- **BUKRS** - Company Code
- **AKONT** - Reconciliation Account
- **ZTERM** - Payment Terms

### KNVV (Key Fields):
- **KUNNR** - Customer Number
- **VKORG** - Sales Organization
- **VTWEG** - Distribution Channel
- **SPART** - Division
- **KALKS** - Pricing Procedure

**Note:** Without access to your specific schema context, these recommendations are based on standard SAP table structures. Your actual implementation may have custom tables or modifications that should also be considered."	KNA1	KNA1	True	True	1.0	1.0
