run_id	query_id	task_type	query	expected_answerable	predicted_answerable	table_precision	table_recall	grounded
20251223_053907	Q000	entity_lookup	What tables store customer data?	True	True	1.0	1.0	0
20251223_053907	Q001	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
20251223_053907	Q002	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
20251223_053907	Q003	entity_lookup	What tables store customer data?	True	True	1.0	1.0	0
20251223_053907	Q004	entity_lookup	What tables store customer data?	True	True	1.0	1.0	0
20251223_053907	Q005	impact	What tables depend on KNA1?	True	True	0.5	1.0	0
20251223_053907	Q006	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
20251223_053907	Q007	negative_relationship	Is there a direct join between VBAP and KNA1?	False	True	0.0	1.0	0
20251223_053907	Q008	entity_lookup	What tables store customer data?	True	True	0.333	1.0	0
20251223_053907	Q009	impact	What tables depend on KNA1?	True	True	0.5	1.0	0
20251223_053907	Q010	entity_lookup	What tables store customer data?	True	True	1.0	1.0	0
20251223_053907	Q011	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
20251223_053907	Q012	impact	What tables depend on KNA1?	True	True	0.5	1.0	0
20251223_053907	Q013	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
20251223_053907	Q014	negative_relationship	Is there a direct join between VBAP and KNA1?	False	True	0.0	1.0	0
20251223_053907	Q015	entity_lookup	What tables store customer data?	True	True	1.0	1.0	0
20251223_053907	Q016	impact	What tables depend on KNA1?	True	True	0.5	1.0	0
20251223_053907	Q017	entity_lookup	What tables store customer data?	True	True	0.333	1.0	0
20251223_053907	Q018	impact	What tables depend on KNA1?	True	True	0.5	1.0	0
20251223_053907	Q019	relationship	How is VBAK connected to KNA1?	True	True	1.0	1.0	0
